longitude,latitude,housing_median_age,population,median_income,median_house_value,rooms_per_household,bedrooms_per_room,ocean_proximity_INLAND,ocean_proximity_ISLAND,ocean_proximity_NEAR BAY,ocean_proximity_NEAR OCEAN
-122.23,37.88,41,322,8.3252,452600,6.984126984126984,0.14659090909090908,False,False,True,False
-122.22,37.86,21,2401,8.3014,358500,6.238137082601054,0.15579659106916466,False,False,True,False
-122.24,37.85,52,496,7.2574,352100,8.288135593220339,0.12951601908657123,False,False,True,False
-122.25,37.85,52,558,5.6431,341300,5.8173515981735155,0.18445839874411302,False,False,True,False
-122.25,37.85,52,565,3.8462,342200,6.281853281853282,0.1720958819913952,False,False,True,False
-122.25,37.85,52,413,4.0368,269700,4.761658031088083,0.23177366702937977,False,False,True,False
-122.25,37.84,52,1094,3.6591,299200,4.9319066147859925,0.19289940828402366,False,False,True,False
-122.25,37.84,52,1157,3.12,241400,4.797527047913447,0.22132731958762886,False,False,True,False
-122.26,37.84,42,1206,2.0804,226700,4.294117647058823,0.2602739726027397,False,False,True,False
-122.25,37.84,52,1551,3.6912,261100,4.970588235294118,0.1992110453648915,False,False,True,False
-122.26,37.85,52,910,3.2031,281500,5.477611940298507,0.19709355131698456,False,False,True,False
-122.26,37.85,52,1504,3.2705,241800,4.772479564032698,0.2146731373108764,False,False,True,False
-122.26,37.85,52,1098,3.075,213500,5.322649572649572,0.1902850260939382,False,False,True,False
-122.26,37.84,52,345,2.6736,191300,4.0,0.2744252873563218,False,False,True,False
-122.26,37.85,52,1212,1.9167,159200,4.262903225806451,0.23685206205069997,False,False,True,False
-122.26,37.85,50,697,2.125,140000,4.242424242424242,0.2526785714285714,False,False,True,False
-122.27,37.85,52,793,2.775,152500,5.9395770392749245,0.17650050864699898,False,False,True,False
-122.27,37.85,52,648,2.1202,155500,4.052805280528053,0.23859934853420195,False,False,True,False
-122.26,37.84,50,990,1.9911,158700,5.343675417661098,0.20321572130415363,False,False,True,False
-122.27,37.84,52,690,2.6033,162900,5.465454545454546,0.19827012641383898,False,False,True,False
-122.27,37.85,40,409,1.3578,147500,4.524096385542169,0.24500665778961384,False,False,True,False
-122.27,37.85,42,929,1.7135,159800,4.478142076502732,0.2239170225747407,False,False,True,False
-122.27,37.84,52,1015,1.725,113900,5.096234309623431,0.22208538587848933,False,False,True,False
-122.27,37.84,52,853,2.1806,99700,5.193846153846154,0.19964454976303317,False,False,True,False
-122.27,37.84,52,1006,2.6,132600,5.270142180094787,0.19649280575539568,False,False,True,False
-122.28,37.85,41,317,2.4038,107500,4.495798319327731,0.22990654205607478,False,False,True,False
-122.28,37.85,49,607,2.4597,93800,4.7280334728033475,0.215929203539823,False,False,True,False
-122.28,37.85,52,1102,1.808,105500,4.7808564231738035,0.22181243414120128,False,False,True,False
-122.28,37.84,50,1131,1.6424,108900,4.40169133192389,0.23631123919308358,False,False,True,False
-122.28,37.84,52,395,1.6875,132000,4.703225806451613,0.2194787379972565,False,False,True,False
-122.28,37.84,49,863,1.9274,122300,5.068783068783069,0.23329853862212943,False,False,True,False
-122.28,37.84,52,1168,1.9615,115200,4.882086167800454,0.22340919647004182,False,False,True,False
-122.27,37.84,48,1026,1.7969,110400,5.737313432835821,0.21279916753381894,False,False,True,False
-122.27,37.83,49,754,1.375,104900,5.0303951367781155,0.22114803625377644,False,False,True,False
